transcript_id,turn_index,speaker,text,set,archetype,sub_type,market,resolution,sentiment_arc,agent_consistency,intent,vader_neg,vader_neu,vader_pos,vader_compound
GS_001,0,AGENT,Thank you for calling Kuda Support. My name is Blessing. How may I help you today?,golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,0.0,0.498,0.502,0.8779
GS_001,1,CUSTOMER,"Blessing, good afternoon. My name is Ngozi Adeyemi. I need help with my account because I have been charged twice for the same transaction and nobody has done anything about it.",golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,0.051,0.702,0.247,0.7906
GS_001,2,AGENT,"Good afternoon, Ngozi. I'm sorry to hear that. I'll look into this for you right away. Can you please confirm your registered phone number and the last four digits of your account number so I can pull up your account?",golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,0.03,0.789,0.181,0.6705
GS_001,3,CUSTOMER,Yes. 08023445678. Account ends in 4421.,golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,0.0,0.649,0.351,0.4019
GS_001,4,AGENT,"Thank you, Ngozi. I can see your account now. Can you tell me approximately when this double charge occurred and what the transaction was for?",golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,0.0,0.902,0.098,0.3612
GS_001,5,CUSTOMER,"It was on the 9th of August. I paid ₦12,750 for my data subscription and Kuda charged me ₦12,750 twice. The money left my account two times. I have been trying to sort this out since Monday and nobody is helping me. Abeg, I need this resolved today.",golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,0.038,0.877,0.085,0.3127
GS_001,6,AGENT,"I completely understand your frustration, Ngozi, and I sincerely apologise for the delay. Let me pull up your transaction history for August 9th now.",golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,0.193,0.613,0.194,0.0094
GS_001,7,CUSTOMER,Please. Because this is not small money.,golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,0.0,0.723,0.277,0.3182
GS_001,8,AGENT,"I can see it here — there are two debit entries of ₦12,750 on August 9th at 14:32 and 14:33, both referencing the same merchant. That is clearly a duplicate charge. I am initiating a reversal for the second transaction now.",golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,0.0,0.928,0.072,0.4019
GS_001,9,CUSTOMER,"Okay. So the ₦12,750 will come back?",golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,0.0,0.759,0.241,0.2263
