transcript_id,set,archetype,sub_type,market,resolution,sentiment_arc,agent_consistency,intent,turns,customer_start_sentiment,customer_end_sentiment,customer_sentiment_delta,agent_mean_sentiment,agent_min_sentiment,customer_mean_sentiment
GS_001,golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,17,0.5962,0.2712,-0.3251,0.4544,0.0,0.3972
GS_002,golden,resolved_support,failed_transaction_resolved,Kenya,resolved,anxious/confused → reassured,calm,failed_transaction,15,0.2964,-0.0306,-0.327,0.307,-0.3265,0.2398
GS_003,golden,resolved_support,account_access_resolved,Gulf (UAE),resolved,frustrated → relieved,"stable, methodical",account_access,23,0.5991,-0.175,-0.774,0.4929,-0.3182,0.1402
GS_004,golden,unresolved_complaint,service_quality_complaint,Nigeria (Abia State),unresolved,calm → frustrated,"professional, defensive, overly scripted",service_complaint,17,-0.1108,-0.2192,-0.1083,0.4497,-0.4404,-0.221
GS_005,golden,unresolved_complaint,repeated_issue_unresolved,Gulf (UAE),unresolved,already frustrated → resigned,"professional, defensive, overly scripted",service_complaint,18,0.0643,-0.1366,-0.201,0.2896,-0.4404,-0.0251
GS_006,golden,unresolved_complaint,policy_dispute_unresolved,Nigeria,unresolved,polite → hostile,"professional, defensive, policy-anchored",policy_dispute,20,0.5202,-0.148,-0.6682,0.4781,-0.3365,0.1722
GS_007,golden,unresolved_complaint,policy_dispute_unresolved,Kenya,unresolved,polite → hostile,"professional, defensive, policy-anchored",policy_dispute,18,0.4835,-0.3454,-0.8288,0.4385,-0.1027,0.0045
GS_008,golden,kyc_verification,standard_kyc_pass,Nigeria,resolved,neutral → satisfied,"stable, methodical, procedural",kyc_verification,24,0.32,0.4593,0.1393,0.5493,0.1027,0.2755
GS_009,golden,kyc_verification,kyc_document_issue,Kenya,unresolved,polite → mildly frustrated,"stable, patient, instructional",kyc_incomplete,23,-0.0098,0.0326,0.0424,0.219,-0.5667,-0.0531
GS_010,golden,kyc_verification,kyc_fraud_flag,Gulf (UAE),unresolved,neutral → confused/defensive,"neutral, protocol-driven, reveals nothing",kyc_escalation,21,0.4479,0.232,-0.2159,0.4419,-0.1134,0.1482
GS_011,golden,loan_recovery,payment_reminder_compliant,Nigeria,resolved,slightly defensive → cooperative,"firm, friendly, non-aggressive",loan_reminder,17,0.3141,-0.0348,-0.349,0.6586,0.0,0.0837
