transcript_id,set,archetype,sub_type,market,resolution,sentiment_arc,agent_consistency,intent,turns
GS_001,golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,17
GS_002,golden,resolved_support,failed_transaction_resolved,Kenya,resolved,anxious/confused → reassured,calm,failed_transaction,15
GS_003,golden,resolved_support,account_access_resolved,Gulf (UAE),resolved,frustrated → relieved,"stable, methodical",account_access,23
GS_004,golden,unresolved_complaint,service_quality_complaint,Nigeria (Abia State),unresolved,calm → frustrated,"professional, defensive, overly scripted",service_complaint,17
GS_005,golden,unresolved_complaint,repeated_issue_unresolved,Gulf (UAE),unresolved,already frustrated → resigned,"professional, defensive, overly scripted",service_complaint,18
GS_006,golden,unresolved_complaint,policy_dispute_unresolved,Nigeria,unresolved,polite → hostile,"professional, defensive, policy-anchored",policy_dispute,20
GS_007,golden,unresolved_complaint,policy_dispute_unresolved,Kenya,unresolved,polite → hostile,"professional, defensive, policy-anchored",policy_dispute,18
GS_008,golden,kyc_verification,standard_kyc_pass,Nigeria,resolved,neutral → satisfied,"stable, methodical, procedural",kyc_verification,24
GS_009,golden,kyc_verification,kyc_document_issue,Kenya,unresolved,polite → mildly frustrated,"stable, patient, instructional",kyc_incomplete,23
GS_010,golden,kyc_verification,kyc_fraud_flag,Gulf (UAE),unresolved,neutral → confused/defensive,"neutral, protocol-driven, reveals nothing",kyc_escalation,21
GS_011,golden,loan_recovery,payment_reminder_compliant,Nigeria,resolved,slightly defensive → cooperative,"firm, friendly, non-aggressive",loan_reminder,17
GS_012,golden,loan_recovery,hardship_negotiation,Kenya,resolved,distressed → cautiously relieved,"empathetic, flexible, solution-focused",hardship_plan,27
GS_013,golden,loan_recovery,loan_recovery_escalation,Gulf (UAE),unresolved,hostile from open → hostile throughout,"professional, de-escalation attempts",loan_escalation,19
GS_014,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
GS_015,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/Equity Bank,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
GS_016,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/Mashreq Neo,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
GS_017,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Moniepoint,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
GS_018,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
GS_019,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/ADCB,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
