transcript_id,set,archetype,sub_type,market,resolution,sentiment_arc,agent_consistency,intent,turns,customer_start_sentiment,customer_end_sentiment,customer_sentiment_delta,agent_mean_sentiment,agent_min_sentiment,customer_mean_sentiment,predicted_intent,intent_confidence,predicted_resolution,resolution_confidence,resolution_signals,resolution_score,sentiment_score,consistency_score,efficiency_score,final_score,narrative
GS_001,golden,resolved_support,billing_error_resolved,Nigeria,resolved,frustrated → relieved,stable,billing_error,17,0.5962,0.2712,-0.3251,0.4544,0.0,0.3972,billing_error,0.5188,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,49.6,56.36,83.33,74.48,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_002,golden,resolved_support,failed_transaction_resolved,Kenya,resolved,anxious/confused → reassured,calm,failed_transaction,15,0.2964,-0.0306,-0.327,0.307,-0.3265,0.2398,failed_transaction,0.649,resolved,1.0,RESOLVED:resolution_confirmed,100.0,49.46,27.21,100.0,70.28,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was inconsistent or leaned negative at points. Call was handled efficiently with a low turn count.
GS_003,golden,resolved_support,account_access_resolved,Gulf (UAE),resolved,frustrated → relieved,"stable, methodical",account_access,23,0.5991,-0.175,-0.774,0.4929,-0.3182,0.1402,account_access,0.5328,resolved,1.0,RESOLVED:resolution_confirmed,100.0,17.51,63.97,33.33,61.38,Call ended in resolution. Customer sentiment declined or remained negative through the call. Agent tone was adequate but showed some variation. Call required a high number of turns to reach its outcome.
GS_004,golden,unresolved_complaint,service_quality_complaint,Nigeria (Abia State),unresolved,calm → frustrated,"professional, defensive, overly scripted",service_complaint,17,-0.1108,-0.2192,-0.1083,0.4497,-0.4404,-0.221,service_complaint,0.2454,unresolved,1.0,UNRESOLVED:complaint_logged_no_action,0.0,65.09,55.43,83.33,38.95,Call did not reach resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_005,golden,unresolved_complaint,repeated_issue_unresolved,Gulf (UAE),unresolved,already frustrated → resigned,"professional, defensive, overly scripted",service_complaint,18,0.0643,-0.1366,-0.201,0.2896,-0.4404,-0.0251,service_complaint,0.3529,unresolved,0.4,NO_SIGNALS_DETECTED,0.0,58.47,23.77,75.0,29.79,Call did not reach resolution. Customer sentiment was broadly stable through the call. Agent tone was inconsistent or leaned negative at points. Call was handled efficiently with a low turn count.
GS_006,golden,unresolved_complaint,policy_dispute_unresolved,Nigeria,unresolved,polite → hostile,"professional, defensive, policy-anchored",policy_dispute,20,0.5202,-0.148,-0.6682,0.4781,-0.3365,0.1722,policy_dispute,0.4728,unresolved,1.0,UNRESOLVED:complaint_logged_no_action | UNRESOLVED:agent_cut_off | UNRESOLVED:abrupt_hangup | UNRESOLVED:customer_disengagement | UNRESOLVED:agent_cannot_resolve,0.0,25.07,61.04,58.33,25.56,Call did not reach resolution. Customer sentiment declined or remained negative through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_007,golden,unresolved_complaint,policy_dispute_unresolved,Kenya,unresolved,polite → hostile,"professional, defensive, policy-anchored",policy_dispute,18,0.4835,-0.3454,-0.8288,0.4385,-0.1027,0.0045,hardship_plan,0.4336,unresolved,1.0,UNRESOLVED:deferred_five_to_seven_days | UNRESOLVED:agent_cut_off | UNRESOLVED:abrupt_hangup | UNRESOLVED:regulatory_threat_final,0.0,13.59,53.21,75.0,22.22,Call did not reach resolution. Customer sentiment declined or remained negative through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_008,golden,kyc_verification,standard_kyc_pass,Nigeria,resolved,neutral → satisfied,"stable, methodical, procedural",kyc_verification,24,0.32,0.4593,0.1393,0.5493,0.1027,0.2755,failed_transaction,0.3608,resolved,1.0,RESOLVED:live_login_confirmed | RESOLVED:live_account_visible | RESOLVED:live_balance_confirmed | RESOLVED:live_login_confirmed | RESOLVED:restriction_lifted | RESOLVED:customer_satisfaction | RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,82.79,75.12,25.0,82.36,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent maintained a consistently positive and professional tone. Call required a high number of turns to reach its outcome.
GS_009,golden,kyc_verification,kyc_document_issue,Kenya,unresolved,polite → mildly frustrated,"stable, patient, instructional",kyc_incomplete,23,-0.0098,0.0326,0.0424,0.219,-0.5667,-0.0531,kyc_verification,0.4861,unresolved,0.76,RESOLVED:warm_mutual_close | UNRESOLVED:pending_upload_farewell,0.0,75.86,9.81,33.33,28.05,Call did not reach resolution. Customer sentiment improved notably over the course of the call. Agent tone was inconsistent or leaned negative at points. Call required a high number of turns to reach its outcome.
GS_010,golden,kyc_verification,kyc_fraud_flag,Gulf (UAE),unresolved,neutral → confused/defensive,"neutral, protocol-driven, reveals nothing",kyc_escalation,21,0.4479,0.232,-0.2159,0.4419,-0.1134,0.1482,kyc_incomplete,0.5794,unresolved,0.75,RESOLVED:warm_mutual_close | UNRESOLVED:institution_will_contact,0.0,57.4,53.89,50.0,33.0,Call did not reach resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
